project,issue_number,issue_type,text,classification,if_fixed,fixed_commit_hash
HADOOP,11421,comment_0,"Thanks for working on this Colin. It'll be nice to swap this in where we can, JDK7 does a much better job at exposing filesystem APIs. I wonder if we should really return a ChunkedArrayList here. It only implements a subset of the AbstractList interface, and this is a pretty general-purpose method. For huge dirs, we should probably just be using the DirectoryStream iterator directly. I do see the use of these helper functions for quick-and-dirty listings though. I'd be okay providing variants of these functions that return a ChunkedArrayList, but it seems like the default should just be a normal ArrayList. Couple other things: * Need {{<p/* I read the docs at and it'd be nice to do like the example and unwrap the into an IOException.",Code-LQualCd,yes,9937eef7f7f04a7dd3d504ae7ec5852d488a1f6a
HADOOP,11421,comment_2,"I think maybe later will become more general-purpose. But you're right; for now, we better use {{ArrayList}}. ok Yeah, that's important... io errors should result in io exceptions. Looks like is a probably in order to conform to the {{Iterator}} interface. I removed the variant that returns a list of File, since I found that the JDK6 file listing interfaces actually returned an array of String, so returning a list of String is compatible-ish.",Code-LQualCd,yes,9937eef7f7f04a7dd3d504ae7ec5852d488a1f6a
HADOOP,11421,description,"We should have a drop-in replacement for File#listDir that doesn't hide IOExceptions, and which returns a ChunkedArrayList rather than a single large array.",Code-LQualCd,yes,9937eef7f7f04a7dd3d504ae7ec5852d488a1f6a
HADOOP,11523,comment_3,"Hi Duo. Thank you for the patch. The current patch would acquire the lease for all {{rename}} operations, covering both block blobs and page blobs. During initial development of atomic rename, we were careful to limit the scope to only page blobs (typically used by HBase logs). Existing applications using block blobs might not be expecting the leases, so I think we need to make sure the lease acquisition only happens after checking In the error handling, if an exception is thrown from the try block, and then another exception is also thrown from freeing the lease, then this would drop the original exception and throw the exception from freeing the lease. I suspect in general the main exception from the try block is going to be more interesting for root cause analysis, so I recommend throwing that one and just logging the one from freeing the lease, like so: In addition to the unit tests, I ran the test suite against a live Azure storage account and confirmed that everything passed. The release audit warning from Jenkins is unrelated to this patch.",Design-Des,yes,f2c91098c400da6db0f5e8e49e9bf0e6444af531
HADOOP,11523,comment_9,"Thanks, . I have just 2 more minor nitpicks. I suggest changing this: to this: This way, we'll log the full stack trace on lease free errors and have more information for troubleshooting. This is just a minor style point, but for the following, the keyword should be inline with the closing brace. Instead of this: We do this: Instead of this: We do this:",Design-Des,yes,f2c91098c400da6db0f5e8e49e9bf0e6444af531
HADOOP,11523,description,"In current WASB (Windows Azure Storage - Blob) implementation, when rename operation succeeds, WASB will update the parent folder's ""last modified time"" property. By default we do not acquire lease on this folder when updating its property and simply pass ""null"" to it. In HBase scenario, when doing distributed log splitting, there might be a case that multiple processes from different region servers will access the same folder, and randomly we will see this exception in regionserver's log, which makes log splitting fail. So we should acquire the lease when updating the folder property rather than pass ""null"" to it.",Design-Des,yes,f2c91098c400da6db0f5e8e49e9bf0e6444af531
HADOOP,11544,comment_2,Thanks for the comment . I removed the entry of from core-default.xml because the default (NeverSampler) is defined in I would like to left the description in Tracing.apt.vm because users still can use for setting trace sampler though the config key should be specified as + rather than in java code.,Code-LQualCd,yes,42548f4dc2b2e8ace891b970c2c6712c02bb43ea
HADOOP,11544,description,are no longer used.,Code-LQualCd,yes,42548f4dc2b2e8ace891b970c2c6712c02bb43ea
HADOOP,11544,summary,Remove unused configuration keys for tracing,Code-LQualCd,yes,42548f4dc2b2e8ace891b970c2c6712c02bb43ea
HADOOP,11607,comment_1,"+1 Note that as s3a uses SLF4J for its log API, it can switch to {{log.info(""item {}"", value)}} for terser/more efficient logging logic (we still recommend wrapping debug statements though, just to skip string creation. If you switch to that mode, I'd be even happier. But I'm OK with what you've done so far",Code-LQualCd,yes,aa1c437b6a806de612f030a68984c606c623f1d9
HADOOP,11607,description,"{{S3AFileSystem}} generates INFO level logs in {{open}} and {{rename}}, which are not necessary.",Code-LQualCd,yes,aa1c437b6a806de612f030a68984c606c623f1d9
HADOOP,11607,summary,Reduce log spew in S3AFileSystem,Code-LQualCd,yes,aa1c437b6a806de612f030a68984c606c623f1d9
HADOOP,11730,comment_4,"patch applied; tested against s3 EU. Given the nature of these problems, it may be good to start thinking about whether we can do things with better simulate failures; the test here is a good start, though we may want more complex policies...mockito might be the tool to reach for.",Test-LCvg,yes,19262d99ebbbd143a7ac9740d3a8e7c842b37591
HADOOP,11730,description,"s3n attempts to read again when it encounters IOException during read. But the current logic does not reopen the connection, thus, it ends up with no-op, and committing the wrong(truncated) output. Here's a stack trace as an example. It seems this is a regression, which was introduced by the following optimizations. Also, test cases should be reviewed so that it covers this scenario.",Test-LCvg,yes,19262d99ebbbd143a7ac9740d3a8e7c842b37591
HADOOP,11966,description,"HADOOP-11464 reinstated support for running the bash scripts through Cygwin. The logic involves setting a {{cygwin}} flag variable to indicate if the script is executing through Cygwin. The flag is set in all of the interactive scripts: {{hadoop}}, {{hdfs}}, {{yarn}} and {{mapred}}. The flag is not set through hadoop-daemon.sh though. This can cause an erroneous overwrite of {{HADOOP_HOME}} and inside hadoop-config.sh.",Code-LQualCd,no,
HADOOP,12135,comment_1,"-00: * removed hadoop hard-codes * added a flag to turn on/off asf license * supports multiple projects, but only as a single file * support for ranges of versions * more of my inability to write python",Code-LQualCd,yes,e8b62d11d460e9706e48df92a0b0a72f4a02d3f5
HADOOP,12135,comment_4,"(If someone wants to take this patch over and rewrite to be more pythonic, please do!)",Code-LQualCd,yes,e8b62d11d460e9706e48df92a0b0a72f4a02d3f5
HADOOP,12135,comment_5,+1 we can make things more pythonic in follow-ons.,Code-LQualCd,yes,e8b62d11d460e9706e48df92a0b0a72f4a02d3f5
HADOOP,12135,summary,cleanup releasedocmaker,Code-DedCd,yes,e8b62d11d460e9706e48df92a0b0a72f4a02d3f5
HADOOP,12368,description,"These are test base classes that need to be subclassed to run, can mark as abstract.",Code-LQualCd,yes,7ad3556ed38560585579172aa68356f37b2288c8
HADOOP,12520,description,"The hadoop-azure tests support execution against the live Azure Storage service if the developer specifies the key to an Azure Storage account. The configuration works by overwriting the file. This can be an error-prone process. The azure-test.xml file is checked into revision control to show an example. There is a risk that the tester could overwrite azure-test.xml containing the keys and then accidentally commit the keys to revision control. This would leak the keys to the world for potential use by an attacker. This issue proposes to use XInclude to isolate the keys into a separate file, ignored by git, which will never be committed to revision control. This is very similar to the setup already used by hadoop-aws for integration testing.",Design-Des,yes,73822de7c38e189f7654444ff48d15cbe0df7404
HADOOP,12701,comment_0,"After the fix, mvn for entire Hadoop tree took 01:27 min on my Macbook Pro. In comparison, it took 38.677 s before.",Code-SlAlg,no,
HADOOP,12701,description,Test source files are not checked by checkstyle because Maven checkstyle plugin parameter is *false* by default. Propose to enable checkstyle on test source files in order to improve the quality of unit tests.,Code-LQualCd,yes,e097c9a124dc0b9ae9076994d19663f29d771ef0
HADOOP,12733,comment_2,"RE: ASF license warnings This looks like a bunch of generated files, not checked in files.",Code-LQualCd,yes,01d31fe9389ccdc153d7f4bf6574bf8e509867c1
HADOOP,12733,description,The following variables appear to no longer be used.,Code-DedCd,yes,01d31fe9389ccdc153d7f4bf6574bf8e509867c1
HADOOP,12811,description,The HBase's HMaster port number conflicts with Hadoop kms port number. Both uses 16000. There might be use cases user need kms and HBase present on the same cluster. The HBase is able to encrypt its HFiles but user might need KMS to encrypt other HDFS directories. Users would have to manually override the default port of either application on their cluster. It would be nice to have different default ports so kms and HBase could naturally coexist.,Design-Des,yes,a74580a4d3039ff95e7744f1d7a386b2bc7a7484
HADOOP,12829,comment_0,"Attached a patch. Doesn't include any tests -- not sure exactly what to test. I internally tested by changing STATS_DATA_CLEANER to package-private and writing the following test: which passes with the change and hangs without it. I'm unclear on if hadoop even wants something like this, since I'm not up to speed on how hadoop handles JVM reuse for unit tests.",Test-LacTst,no,
HADOOP,12829,comment_1,"Thank you, . I can't think of any reason why this thread should swallow without a trace. It is not performing any operations that should inherently generate INE, as far as I can see, and if someone else sends an INE we ought to... interrupt the thread. Can you include the stack trace so that this exception has a better chance of getting noticed? Also, capitalize the error? +1 pending those changes",Code-LQualCd,yes,d9c409a4286e36387fb39e7d622e850c13315465
HADOOP,12829,description,"The implemented in HADOOP-12107 swallows interrupt exceptions. Over in Solr/Sentry land, we run thread leak checkers on our test code, which passed before this change and fails after it. Here's a sample report: And here's an indication that the interrupt is being ignored: This is inconsistent with how other long-running threads in hadoop, i.e. PeerCache respond to being interrupted. The argument for doing this in HADOOP-12107 is given as I'm unclear on what ""spurious wakeup"" means and it is not mentioned in So, I believe this thread should respect interruption.",Code-LQualCd,yes,d9c409a4286e36387fb39e7d622e850c13315465
HADOOP,12829,summary,swallows interrupt exceptions,Code-LQualCd,yes,d9c409a4286e36387fb39e7d622e850c13315465
HADOOP,12829,comment_11,"Hello guys, I hit the same thread leak issue in FLINK-15239. In our use case, a Flink cluster is started w/o Hadoop dependencies, and accepts jobs submitted from various clients. If a job needs to access Hadoop, client will include Hadoop jars as its dependencies. On Flink side, we create a class loader to load all the dependencies of each job. As a result, we start a thread each time we load the Hadoop classes. While the change here made the thread respond to interrupt exception, it seems there's no one to interrupt the thread. So I guess the thread only dies when the JVM exits. If that's the case, is it possible to provide a way to explicitly interrupt the thread?",Design-Des,no,
HADOOP,12888,comment_0,"Hadoop is notoriously bad for security manager support (See HADOOP-5731) ... though being able to go securely client-side would be good. As you note: server-side requirements shouldn't impact client side. # what happens if you try to use webhdfs rather than hdfs:// ? # show us the stack trace? Shell is used client-side to detect OS, there is a languishing patch to isolate OS checks...someone needs to refresh that patch and we can get it into trunk. It's also critical on windows. Which field is causing the problem?",Code-LQualCd,yes,5a725f0ab8ef9e2a8b08f088ba4e87531ae4530d
HADOOP,12888,comment_5,"attach the patch to this JIRA, use a name of the form hit the the ""submit patch"" button and it'll be trigger an automatic review. Yetus will complain about the lack of tests, but we'll have to go with that. Did it work for you in any manual tests Moving the issue from HDFS to Hadoop as its in the common module",Test-LacTst,no,
HADOOP,12888,comment_8,...afraid you'll have to look at the checkstyle issues. Don't worry about the test and whitespace complaints,Code-LQualCd,yes,5a725f0ab8ef9e2a8b08f088ba4e87531ae4530d
HADOOP,12888,comment_9,Fix checkstyle errors.,Code-LQualCd,yes,5a725f0ab8ef9e2a8b08f088ba4e87531ae4530d
HADOOP,12888,comment_11,Yet another update to fix checkstyle errors.,Code-LQualCd,yes,5a725f0ab8ef9e2a8b08f088ba4e87531ae4530d
HADOOP,12888,comment_15,"I went for debug: 1. to be consistent (similar to isSetsid 2. just like on windows on the other code paths, having these features disabled, on the client, has no impact. On info they would simply add noise and confusion in my opinion.",Code-LQualCd,yes,5a725f0ab8ef9e2a8b08f088ba4e87531ae4530d
HADOOP,12888,description,"HDFS _client_ requires dangerous permission, in particular _execute_ on _all files_ despite only trying to connect to an HDFS cluster. A full list (for both Hadoop 1 and 2) is available here along with the place in code where they occur. While it is understandable for some permissions to be used, requiring {{FilePermission <<ALL FILES To make matters worse, the code is executed to initialize a field so in case the permissions is not granted, the VM fails with which is unrecoverable. Ironically enough, on Windows this problem does not appear since the code simply bypasses it and initializes the field with a fall back value ({{false}}). A quick fix would be to simply take into account that the JVM {{SecurityManager}} might be active and the permission not granted or that the external process fails and use a fall back value. A proper and long-term fix would be to minimize the use of permissions for hdfs client since it is simply not required. A client should be as light as possible and not have the server requirements leaked onto.",Code-LQualCd,yes,5a725f0ab8ef9e2a8b08f088ba4e87531ae4530d
HADOOP,12923,description,Some code is used only by tests. Let's relocate them.,Architecture-VioMod,yes,1898810cda83e6d273a2963b56ed499c0fb91118
HADOOP,12923,summary,Move the test code in ipc.Client to test,Architecture-VioMod,yes,1898810cda83e6d273a2963b56ed499c0fb91118
HADOOP,12952,description,"The examples for building distributions include how to create one without any documentation. But it includes the javadoc stage in the build, which is very slow. Adding skips that phase, and helps round out the parameters to a build.",Code-SlAlg,yes,a107cee14bb5446057da81d1c95d7fffd759e497
HBASE,10001,description,"We have a mockup to test only the client. If we want to include the network, without beeing limited by the i/o, we don't have much tools. This coprocessor helps to test this. I put it in the main code as to make it usable without adding a jar... I don't think it's possible avoid the WAL writes in the coprocessors. It would be great to have it to simplify the test with any kind of client (i.e. w/o changing the durability).",Code-CpxCd,yes,d9b983bb5ee871387ce5f47d6890cf6ef4b9058d
HBASE,10008,description,"is flakey on Jenkins, this test has failed due to timeout a couple times for me on precommit. Here's the stacktrace.",Test-FlakyTst,yes,eab83c92ed9f101dc981933be8383590491dbff7
HBASE,10008,summary,is flakey on jenkins,Test-FlakyTst,yes,eab83c92ed9f101dc981933be8383590491dbff7
HBASE,1054,description,"I had some tables refuse to find their indexes even though they were defined and had been updated. Scanning .META. I see that some regions from the table don't have the indexes... Oddly, during the .META. scan, I would see that I had 3 entries per table. (I have very little data in each table, def not splitting yet) But when I visited the UI it showed just one region per table... This patch also addes some toStrings that helped in diagnostics, and a new null check that I found I needed in IndexedTableScanner",Design-Des,yes,7d7f84b6935f3980d3cc41df1a2be72abc8e9eb8
HBASE,10631,description,"There is an extra seek(0) on FileLink open, that we can skip",Code-LQualCd,yes,9f86836794cbb7addc3896082ff76ef02d3dd7bc
HBASE,10631,summary,Avoid extra seek on FileLink open,Code-LQualCd,yes,9f86836794cbb7addc3896082ff76ef02d3dd7bc
HBASE,10968,comment_1,Thanks Matteo. Patch also removes an unused local variable.,Code-DedCd,yes,89b60b0374102b9f7b21e04d0e248ff31ee11c6c
HBASE,10968,description,"Here is related code: context was dereferenced first, leaving the null check ineffective.",Design-Des,yes,89b60b0374102b9f7b21e04d0e248ff31ee11c6c
HBASE,10968,summary,Null check in is redundant,Design-Des,yes,89b60b0374102b9f7b21e04d0e248ff31ee11c6c
HBASE,11011,comment_3,"In this case is not bad, is an ""expected"" situation, where the RS died before moving the compacted file. Anyway, I think that all the loop can be removed, since is trying to lookup files in and if they are there are already loaded for sure.",Code-LQualCd,no,
HBASE,11011,comment_4,"This might be, but the log message doesn't convey any of that. Taken out of context (so most users reading our logs), it just says a file is missing. I'm trusting you on this one :)",Code-LQualCd,no,
HBASE,11011,comment_6,"none of the above, the removed code was doing nothing (see the comment inside the function). The output files in the entry are simply not useful",Code-LQualCd,no,
HBASE,11011,description,"On load we already have a StoreFileInfo and we create it from the path, this will result in an extra fs.getFileStatus() call. In we do a fs.exists() and later a fs.getFileStatus() to create the StoreFileInfo, we can avoid the exists.",Design-Des,yes,996ce5211cb228a508470f779e17f76168efe270
HBASE,11011,summary,Avoid extra getFileStatus() calls on Region startup,Design-Des,yes,996ce5211cb228a508470f779e17f76168efe270
HBASE,11229,description,"See parent issue. Small changes in the hit percentage can have large implications, even when movement is inside a single percent: i.e. going from 99.11 to 99.87 percent. As is, percents are ints. Make them doubles.",Design-Des,yes,46e53b089a81c2e1606b1616b1abf64277de50a9
HBASE,11229,summary,Change block cache percentage metrics to be doubles rather than ints,Design-Des,yes,46e53b089a81c2e1606b1616b1abf64277de50a9
HBASE,11511,comment_4,"Thanks Stack for taking a look. Good point. We writelock the updatesLock, then start the mvcc transaction, so it should be the case that sync() and sync(trx) should be the same thing I guess. But let me change it to be plain old sync() to be failure-proof. Indeed. The block above is a catch block for catching an ignoring any exception from writing the abort marker to WAL. The call to should still happen in the outer block, resulting in",Design-Des,yes,bbe29eb93cc819fbf0287aa2cb343649b72783bf
HBASE,11511,description,"We used to write COMPLETE_FLUSH event to WAL until it got removed in 0.96 in issue HBASE-7329. For secondary region replicas, it is important to share the data files with the primary region. So we should reintroduce the flush wal markers so that the secondary region replicas can pick up the newly flushed files from the WAL and start serving data from those. A design doc which explains the context a bit better can be found in HBASE-11183.",Design-Des,yes,bbe29eb93cc819fbf0287aa2cb343649b72783bf
HBASE,11621,comment_4,"Here was 0.98 test suite with patch - on the same host as the previous run: With patch, hbase-server module went from 66 min to 51 min.",Code-SlAlg,yes,62d51bb377af46c2fefd3e7a441579878744da13
HBASE,11621,description,Daryn proposed the following change in HDFS-6773: With this change in runtime for TestAdmin went from 8:35 min to 7 min,Code-SlAlg,yes,62d51bb377af46c2fefd3e7a441579878744da13
HBASE,11621,summary,Make MiniDFSCluster run faster,Code-SlAlg,yes,62d51bb377af46c2fefd3e7a441579878744da13
HBASE,12059,description,Different versions of hadoop have different annotations. We can smooth this out by providing our own.,Design-Des,yes,a5bd931682c10f34d5e33aa103eb64aeac632e03
HBASE,12106,description,Test annotation interfaces used to be under then moved to We should move them to,Code-LQualCd,yes,3557a3235210b178d9c6cd3355c68d0a7155243e
HBASE,12238,comment_0,In standalone mode this is a little disorientating... it shows up frequently:,Design-Des,yes,5062edebcfc18329360845988cfee5d25c23a934
HBASE,12238,description,"Let me fix a few innocuous exceptions that show on startup (saw testing 0.99.1), even when regular -- will throw people off. Here is one: More to follow...",Design-Des,yes,5062edebcfc18329360845988cfee5d25c23a934
HBASE,12238,summary,A few ugly exceptions on startup,Design-Des,yes,5062edebcfc18329360845988cfee5d25c23a934
HBASE,12464,comment_3,"It's not good for meta to stuck in FAILED_OPEN. Agree we should handle it differently. The patch looks good. Just couples things: 1. Can we add a log (info/debug level may be fine) when we reset the retry count to 0? 2. We also need to prevent meta region goes to FAILED_OPEN at method How about FAILED_CLOSE? It should be fine since the meta region is still available? Is this essentially the same as setting maximumAttempts to a huge number? In many cases, a region may not be able to heal automatically without a pill. Personally, I think a better monitoring system could be better in this case.",Design-Des,yes,7eefd0cbed094b188c0e68d3ee99d937fa6942b0
HBASE,12464,comment_4,"This looks good, except for Jimmy's comments above. Nit. should be renamed to Can you rebase the patch on top of current master code. FAILED_CLOSE should be fine I think. Not much to do there. We default to 10 attempts to assign. Maybe we should bump it up to 30 or so. I did not check how long we are sleeping overall, but for client -> server operations we are retrying 35 times for a total of 10 min before giving up. We can do the similar for region assignment.",Code-LQualCd,yes,7eefd0cbed094b188c0e68d3ee99d937fa6942b0
HBASE,12464,description,"meta table region assignment could reach to the 'FAILED_OPEN' state, which makes the region not available unless the target region server shutdown or manual resolution. This is undesirable state for meta tavle region. Here is the sequence how this could happen (the code is in Step 1: Master detects a region server (RS1) that hosts one meta table region is down, it changes the meta region state from 'online' to 'offline' Step 2: In a loop (with configuable maximumAttempts count, default is 10, and minimal is 1), AssignmentManager tries to find a RS to host the meta table region. If there is no RS available, it would loop forver by resetting the loop count (BUG#1 from this logic - a small bug) Step 3: Once a new RS is found (RS2), inside the same loop as Step 2, AssignmentManager tries to assign the meta region to RS2 (OFFLINE, RS1 = Based on the document ( ), this is by design - ""17. For regions in FAILED_OPEN or FAILED_CLOSE states , the master tries to close them again when they are reassigned by an operator via HBase Shell."". However, this is bad design, espcially for meta table region (it is arguable that the design is good for regular table - for this ticket, I am more focus on fixing the meta region availablity issue). I propose 2 possible fixes: Fix#1 (band-aid change): in Step 3, just like Step 2, if the region is a meta table region, reset the loop count so that it would not leave the loop with meta table region in FAILED_OPEN state. Fix#2 (more involved): if a region is in FAILED_OPEN state, we should provide a way to automatically trigger after a short period of time (leaving any region in FAILED_OPEN state or other states like 'FAILED_CLOSE' is undesirable, should have some way to retrying and auto-heal the region). I think at least for 1.0.0, Fix#1 is good enough. We can open a task-type of JIRA for Fix#2 in future release.",Design-Des,yes,7eefd0cbed094b188c0e68d3ee99d937fa6942b0
HBASE,12833,comment_11,"A couple of comments on this: 1) the interface changes and the managed/unmanaged connection issues are separate concerns. 2) On the mailing list you said: ""Yes, the concept of connection caching, aka, managed connections are going away."" If managed connections are going away, then let's make them go away across the board. If they're staying, then let's keep them and rework the interfaces to support managed connections as a first class citizen. I only see disadvantages for inconsistency in this aspect. That said, this can totally be something that I'm missing. Do you see any advantages to keeping a mix of managed and unmanaged connections around?",Design-Des,yes,af725a0357efa01f276f2fe15518e6e119b89e45
HBASE,12833,comment_13,"On closer inspection, it looks like SecurityAdmin and need updated with this new style as well. ReplicationAdmin appears to manage it's own connection by design, though the rational eludes me.",Code-LQualCd,yes,af725a0357efa01f276f2fe15518e6e119b89e45
HBASE,12833,comment_16,"I guess it could be, but won't connections still be leaked when these classes are used? All this shows is our test usage of this part of the client is not as through as others. Whatever you say .",Test-LCvg,yes,af725a0357efa01f276f2fe15518e6e119b89e45
HBASE,12833,description,TestShell is erring out (timeout) consistently for me. Culprit is OOM cannot create native thread. It looks to me like test_table.rb and hbase/table.rb are made for leaking connections. table calls for every table but provides no close() method to clean it up. test_table creates a new table with every test.,Code-LQualCd,yes,af725a0357efa01f276f2fe15518e6e119b89e45
HBASE,12833,summary,[shell] table.rb leaks connections,Code-LQualCd,yes,af725a0357efa01f276f2fe15518e6e119b89e45
HBASE,1298,description,"is a key in my ""userdata"" table which happens to be the start key for a region named lists a link to which is incorrect because the "" + "" character is not properly URI Encoded. This results in a misleading user error message: ""This region is no longer available. It may be due to a split, a merge or the name changed. "" manually escaping the "" + "" character as ""%2B"" produces the correct output. A quick skim of master.jsp suggests it has a similar problem: it doesn't URI Encode table names when constructing links to table.jsp",Code-LQualCd,yes,e2eacecb290eac0e7160d07231b9b05ae51ae96b
HBASE,13395,comment_5,It is deprecated in 1.0 I think. So we can remove it.,Code-DedCd,yes,50e9825139d9abfd280eb7a930c8c6a96e9e68a6
HBASE,13395,description,"This class is marked as deprecated, probably can remove it, and if any methods from this specific class are in active use, need to decide what to do on callers' side. Should be able to replace with just Table interface usage.",Code-DedCd,yes,50e9825139d9abfd280eb7a930c8c6a96e9e68a6
HBASE,1359,description,"If you see I removed and ip or something for security reasons Once I truncate the table, hbase freaks out for about 10 seconds and all the thrift servers die. Thrift server log: 2009-04-02 12:09:08,971 INFO Retrying connect to server: /:60020. Already tried 0 time(s). You see this a bunch of times and then it times out The hbase shell 13:01:08 INFO Quorum servers: Truncating t2; it may take a while Disabling table... 09/04/30 13:01:19 INFO client.HBaseAdmin: Disabled t2 0 row(s) in 10.3417 seconds Dropping table... 09/04/30 13:01:19 INFO client.HBaseAdmin: Deleted t2 0 row(s) in 0.1592 seconds Creating table... 0 row(s) in 14.7567 seconds undefined local variable or method `lsit' for #<Object:0x3bbe9a50 from (hbase):3 undefined local variable or method `lsit' for #<Object:0x3bbe9a50 from (hbase):4 null from `proc essRow' from `metaScan' from `metaScan' from `list Tables' from `listTables' from `invoke0' from `invoke' from `invoke' from `invoke' from ndling' from `invoke' from `call' from `cacheAndCal l' from `call' from `interpret' from `interpret' ... 113 levels... from `call' from `call ' from `call' from `cacheAndCal l' from `call' from `__file_ _' from `__file__ ' from `load' from `runScript' from `runNormally' from `runFromMain' from `run' from `run' from `main' from `list' from",Code-SlAlg,yes,87956cea5bd9866c9110a63dd0bbfb5e3e780262
HBASE,13710,description,HttpServer makes use of Hadoop's ReflectionUtil instead of our own. AFAICT it's using 1 extra method. Just copy that one over to our own ReflectionUtil.,Design-Des,yes,353b046d6c5cf028ed509d238eafa46b6b3ec7a3
HBASE,13905,comment_9,"Test is still in the flakey category, occasionally timing out with this stack",Test-FlakyTst,no,
HBASE,13905,description,The reruns failed because the test is not idempotent. Perhaps we should have the test startup clean up it's workspace before starting.,Design-Des,yes,35a9c509fb517ca846e2a376d7e7bdf30344d20f
HBASE,1396,summary,Remove unused sequencefile and mapfile config. from hbase-default.xml,Code-DedCd,yes,b8854372bc2400d7bde7cae4c2e97f9e2adee47d
HBASE,14494,comment_0,Simple patch which adds some commas to the help message for the follow shell commands: * * grant.rb * * revoke.rb,Code-LQualCd,yes,4da3c935d4a84968df62bb7e49833ad48a20ed87
HBASE,14494,description,"noticed that the grant shell command was missing commas in-between the method arguments in the usage/help messages. After taking a look at some of the others, it's not alone. I'll make a pass over the shell commands and try to find some more help messages which tell the user to run a bad command.",Code-LQualCd,yes,4da3c935d4a84968df62bb7e49833ad48a20ed87
HBASE,14494,summary,Wrong usage messages on shell commands,Code-LQualCd,yes,4da3c935d4a84968df62bb7e49833ad48a20ed87
HBASE,14517,comment_5,Fix checkstyle errors,Code-LQualCd,yes,445dbd8a0e45e45bd4a44dee999a6c134c374dfc
HBASE,14517,description,"In production env, regionservers may be removed from the cluster for hardware problems and rejoined the cluster after the repair. There is a potential risk that the version of rejoined regionserver may diff from others because the cluster has been upgraded through many versions. To solve this, we can show the all regionservers' version in the server list of master's status page, and highlight the regionserver when its version is different from the master's version, similar to HDFS-3245 Suggestions are welcome~",Design-Des,yes,445dbd8a0e45e45bd4a44dee999a6c134c374dfc
HBASE,14604,comment_1,Any chance of a unit test ?,Test-LacTst,yes,60465964039acd05f43f268cdb4f909a150a0f41
HBASE,14604,comment_4,The classes are in the same package. Please make the new methods package private. Patch for 0.98 branch should contain 0.98 in the filename. Extension should be either .txt or .patch. Please attach patch for master branch.,Code-LQualCd,yes,60465964039acd05f43f268cdb4f909a150a0f41
HBASE,14604,description,"The code in MoveCoseFunction: It uses cluster.numRegions + META_MOVE_COST_MULT as the max value when scale moveCost to [0,1]. But this should use maxMoves as the max value when cluster have a lot of regions. Assume a cluster have 10000 regions, maxMoves is 2500, it only scale moveCost to [0, 0.25]. Improve moveCost by use maxMoves) as the max cost, so it can scale moveCost to [0,1].",Design-Des,yes,60465964039acd05f43f268cdb4f909a150a0f41
HBASE,15192,comment_6,Looks like there are other flaky sub-tests.,Test-FlakyTst,yes,243e6cc5293dc1e2a4dfd3af4ee29087c84184c8
HBASE,15192,comment_9,"If there is no objection, I plan to resolve this JIRA. There is still flaky subtest, e.g. : which we can track in separate issue(s)",Test-FlakyTst,yes,243e6cc5293dc1e2a4dfd3af4ee29087c84184c8
HBASE,15192,description,"fails intermittently due to failed assertion on cleaned merge region count: Before calling the test does: newcount1 is not cleared at the beginning of the loop. This means that if the check for newcount1 <= 1 doesn't pass the first iteration, it wouldn't pass in subsequent iterations. After timeout is exhausted, is called. However, there is a chance that has been called by the Chore already (during the wait period), leaving the cleaned count 0 and failing the test.",Test-FlakyTst,yes,243e6cc5293dc1e2a4dfd3af4ee29087c84184c8
HBASE,15192,summary,is flaky,Test-FlakyTst,yes,243e6cc5293dc1e2a4dfd3af4ee29087c84184c8
HBASE,15617,comment_1,"The new depends on some internal details likely to change. We should treat ZK state as a black box and avoid relying on it. This is a layering violation, really. Why not use the supported Admin API's to get the live server list to enumerate? That unit test failure appears unrelated.",Design-Des,yes,460b41c80012eff4ba59be95a86037d3b9c736b4
HBASE,15617,description,"When running in regionserver mode the Canary is expected to probe for service health one time per regionserver during a probe interval. Each time the canary chore fires, we create a which uses (via to enumerate over all table descriptors, find the locations for each table, then assemble the list of regionservers to probe from this result. The list may not contain all live regionservers, if there is a regionserver up but for some reason not serving any regions. To ensure we have the complete list of live regionservers I think it would be better to use and enumerate the live server list returned in the result.",Design-Des,yes,460b41c80012eff4ba59be95a86037d3b9c736b4
HBASE,15640,comment_0,"Here is small patch which ups our limit to 1M blocks from 100k so less likely we'll hit limit and then if we do, puts in place a message in red with how to address the limit (I couldn't figure what the previous message was trying to say... didn't seem to make sense). This could be better.. but will do for now.",Design-Des,yes,6dd938c20bf4634b5efa1ceca4ded7e54f8d9c0e
HBASE,15640,description,"I was baffled looking at L1 Cache because it was stuck at 100k blocks and only 'loading' 3G of data according to the UI. When I looked in log, all the numbers looked write in the Cache summary reported in log. Turns out our buckecache UI template will cut off calculating stats at a limit --which is probably what we want -- but the fact that it has done this should be more plain.",Design-Des,yes,6dd938c20bf4634b5efa1ceca4ded7e54f8d9c0e
HBASE,15640,summary,L1 cache doesn't give fair warning that it is showing partial stats only when it hits limit,Design-Des,yes,6dd938c20bf4634b5efa1ceca4ded7e54f8d9c0e
HBASE,15835,comment_5,"Curious: It appears that TestFSHLogProvider is (inadvertently, I imagine) instantiating an HBaseTestingUtility with a *null* Configuration (this within the context of kicking off a thread). This might be worthy of further investigation (since it's probably not intended to be this way), but for now I will simply precede my newly inserted logic with a check for a null Configuration, and thus avoid the that my original patch encountered.",Design-Des,yes,e6d613de70decf2b0f21d61bfa066cca870d5a09
